Gene_Expression,Protein_Abundance,Disease_Severity
54.96714153011233,40.96518016294288,42.636987280661224
48.61735698828815,48.15527651317521,50.454348128392766
56.47688538100692,45.11402218111587,37.99143974896293
65.23029856408026,46.89568420648471,28.78866831551639
47.658466252766644,42.23949756272926,56.40416285920435
47.6586304305082,32.02268609455145,59.12256971234592
65.79212815507391,53.67802049908291,33.84782123702442
57.67434729152909,36.34112721382439,47.34331719793103
45.30525614065048,29.603274668028227,56.502923984587696
55.42560043585965,45.324786528033336,41.348800791114726
45.365823071875376,39.984991357477355,56.4411549556667
45.34270246429743,37.1310033773878,62.347480368032414
52.41962271566034,41.35745676058708,47.4012470887899
30.86719755342202,23.18823956479117,76.95602072564802
32.75082167486967,18.8080473880586,54.150452804681606
44.37712470759027,31.90247872409867,59.73238781428585
39.87168879665576,29.594157182525674,60.56354654453509
53.142473325952736,47.79958979185677,45.36248992171792
40.91975924478789,34.45389884367262,59.539044637889624
35.87696298664709,19.886369612503998,54.18519244034845
64.65648768921554,53.345609998346404,34.2451528715969
47.74223699513465,36.26837819402614,54.04332586242408
50.67528204687924,37.155615635973604,56.714188176828344
35.75251813786544,31.66039595449669,61.656130770766325
44.556172754748175,40.79993581627829,51.401359230785886
51.10922589709866,45.54378131325992,46.381988884978654
38.490064225776976,26.59596376450839,66.0869463627334
53.75698018345672,41.45952226750931,47.886775364841704
43.99361310081195,36.85120763766738,53.35758588035286
47.083062502067236,42.54417563726559,55.48327466349954
