State,Frost,Area
Alabama,20,50708
Alaska,152,566432
Arizona,15,113417
Arkansas,65,51945
California,20,156361
Colorado,166,103766
Connecticut,139,4862
Delaware,103,1982
Florida,11,54090
Georgia,60,58073
Hawaii,0,6425
Idaho,126,82677
Illinois,127,55748
Indiana,122,36097
Iowa,140,55941
Kansas,114,81787
Kentucky,95,39650
Louisiana,12,44930
Maine,161,30920
Maryland,101,9891
Massachusetts,103,7826
Michigan,125,56817
Minnesota,160,79289
Mississippi,50,47296
Missouri,108,68995
Montana,155,145587
Nebraska,139,76483
Nevada,188,109889
New Hampshire,174,9027
New Jersey,115,7521
New Mexico,120,121412
New York,82,47831
North Carolina,80,48798
North Dakota,186,69273
Ohio,124,40975
Oklahoma,82,68782
Oregon,44,96184
Pennsylvania,126,44966
Rhode Island,127,1049
South Carolina,65,30225
South Dakota,172,75955
Tennessee,70,41328
Texas,35,262134
Utah,137,82096
Vermont,168,9267
Virginia,85,39780
Washington,32,66570
West Virginia,100,24070
Wisconsin,149,54464
Wyoming,173,97203
